airline,orignum,deptime,depdelay,arrdelay,cancelled,distance
19393.00,66.00,0.00,0.00,0.00,1.00,787.00
19393.00,68.00,0.00,0.00,0.00,1.00,239.00
19393.00,68.00,0.00,0.00,0.00,1.00,239.00
19393.00,83.00,0.00,0.00,0.00,1.00,337.00
19393.00,83.00,0.00,0.00,0.00,1.00,337.00
19393.00,83.00,0.00,0.00,0.00,1.00,651.00
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
19393.00,83.00,0.00,0.00,0.00,1.00,372.00
19393.00,83.00,0.00,0.00,0.00,1.00,308.00
19393.00,83.00,0.00,0.00,0.00,1.00,342.00
19805.00,83.00,0.00,0.00,0.00,1.00,247.00
19805.00,73.00,0.00,0.00,0.00,1.00,328.00
19805.00,69.00,0.00,0.00,0.00,1.00,551.00
19805.00,76.00,0.00,0.00,0.00,1.00,304.00
19805.00,68.00,0.00,0.00,0.00,1.00,641.00
19805.00,65.00,0.00,0.00,0.00,1.00,190.00
19805.00,77.00,0.00,0.00,0.00,1.00,852.00
19805.00,68.00,0.00,0.00,0.00,1.00,460.00
19805.00,68.00,0.00,0.00,0.00,1.00,237.00
19805.00,68.00,0.00,0.00,0.00,1.00,550.00
19805.00,68.00,0.00,0.00,0.00,1.00,551.00
19805.00,68.00,0.00,0.00,0.00,1.00,175.00
19805.00,79.00,0.00,0.00,0.00,1.00,1723.00
19805.00,68.00,0.00,0.00,0.00,1.00,852.00
19805.00,68.00,0.00,0.00,0.00,1.00,304.00
19805.00,68.00,0.00,0.00,0.00,1.00,641.00
19805.00,65.00,0.00,0.00,0.00,1.00,190.00
19805.00,68.00,0.00,0.00,0.00,1.00,631.00
19805.00,68.00,0.00,0.00,0.00,1.00,868.00
19805.00,66.00,0.00,0.00,0.00,1.00,631.00
19805.00,68.00,0.00,0.00,0.00,1.00,1212.00
19805.00,68.00,0.00,0.00,0.00,1.00,569.00
19805.00,65.00,0.00,0.00,0.00,1.00,569.00
19805.00,83.00,0.00,0.00,0.00,1.00,550.00
19805.00,68.00,0.00,0.00,0.00,1.00,190.00
19805.00,76.00,0.00,0.00,0.00,1.00,282.00
19805.00,68.00,0.00,0.00,0.00,1.00,190.00
19805.00,68.00,0.00,0.00,0.00,1.00,282.00
19805.00,68.00,0.00,0.00,0.00,1.00,1235.00
19805.00,68.00,0.00,0.00,0.00,1.00,328.00
19805.00,68.00,0.00,0.00,0.00,1.00,247.00
19805.00,68.00,0.00,0.00,0.00,1.00,936.00
19805.00,68.00,0.00,0.00,0.00,1.00,175.00
19805.00,68.00,0.00,0.00,0.00,1.00,731.00
19805.00,68.00,0.00,0.00,0.00,1.00,224.00
20409.00,76.00,0.00,0.00,0.00,1.00,231.00
20409.00,76.00,0.00,0.00,0.00,1.00,231.00
19805.00,80.00,0.00,0.00,0.00,1.00,868.00
19805.00,77.00,0.00,0.00,0.00,1.00,460.00
20366.00,68.00,0.00,0.00,0.00,1.00,312.00
20366.00,68.00,0.00,0.00,0.00,1.00,383.00
20366.00,68.00,0.00,0.00,0.00,1.00,772.00
20366.00,65.00,0.00,0.00,0.00,1.00,312.00
20366.00,68.00,0.00,0.00,0.00,1.00,304.00
20366.00,76.00,0.00,0.00,0.00,1.00,304.00
20366.00,83.00,0.00,0.00,0.00,1.00,191.00
20366.00,65.00,0.00,0.00,0.00,1.00,312.00
20366.00,86.00,0.00,0.00,0.00,1.00,641.00
20366.00,68.00,0.00,0.00,0.00,1.00,240.00
20366.00,79.00,0.00,0.00,0.00,1.00,240.00
20366.00,69.00,0.00,0.00,0.00,1.00,1092.00
20366.00,67.00,0.00,0.00,0.00,1.00,529.00
20366.00,73.00,0.00,0.00,0.00,1.00,322.00
20366.00,79.00,0.00,0.00,0.00,1.00,531.00
20366.00,82.00,0.00,0.00,0.00,1.00,531.00
20366.00,68.00,0.00,0.00,0.00,1.00,199.00
20366.00,69.00,0.00,0.00,0.00,1.00,199.00
20366.00,84.00,0.00,0.00,0.00,1.00,541.00
20366.00,73.00,0.00,0.00,0.00,1.00,177.00
20366.00,71.00,0.00,0.00,0.00,1.00,445.00
20366.00,72.00,0.00,0.00,0.00,1.00,738.00
20366.00,79.00,0.00,0.00,0.00,1.00,738.00
20366.00,69.00,0.00,0.00,0.00,1.00,748.00
20366.00,68.00,0.00,0.00,0.00,1.00,299.00
20366.00,68.00,0.00,0.00,0.00,1.00,1021.00
20366.00,68.00,0.00,0.00,0.00,1.00,641.00
20366.00,79.00,0.00,0.00,0.00,1.00,773.00
20366.00,83.00,0.00,0.00,0.00,1.00,773.00
20366.00,76.00,0.00,0.00,0.00,1.00,617.00
20366.00,73.00,0.00,0.00,0.00,1.00,224.00
20366.00,79.00,0.00,0.00,0.00,1.00,299.00
20366.00,67.00,0.00,0.00,0.00,1.00,617.00
20366.00,72.00,0.00,0.00,0.00,1.00,780.00
20366.00,66.00,0.00,0.00,0.00,1.00,854.00
20366.00,68.00,0.00,0.00,0.00,1.00,363.00
20366.00,68.00,0.00,0.00,0.00,1.00,399.00
20366.00,77.00,0.00,0.00,0.00,1.00,196.00
20366.00,68.00,0.00,0.00,0.00,1.00,900.00
20366.00,79.00,0.00,0.00,0.00,1.00,900.00
20366.00,77.00,0.00,0.00,0.00,1.00,852.00
