id,tsunami,year,eq,region,deaths
5190.00,0.00,1989.00,5.40,170.00,1.00
4886.00,0.00,1980.00,5.40,140.00,1.00
3281.00,0.00,1925.00,5.50,140.00,500.00
1997.00,0.00,1856.00,5.50,30.00,300.00
3422.00,0.00,1930.00,5.50,30.00,200.00
74.00,0.00,294.00,5.50,30.00,101.00
737.00,0.00,1560.00,5.50,30.00,100.00
8099.00,0.00,1834.00,5.50,30.00,88.00
2261.00,0.00,1878.00,5.50,30.00,70.00
4396.00,1.00,1967.00,5.50,170.00,58.00
4715.00,0.00,1976.00,5.50,40.00,50.00
158.00,0.00,649.00,5.50,30.00,50.00
1301.00,0.00,1748.00,5.50,30.00,40.00
3580.00,0.00,1936.00,5.50,30.00,30.00
9836.00,0.00,2011.00,5.50,30.00,25.00
1662.00,0.00,1822.00,5.50,30.00,23.00
783.00,0.00,1586.00,5.50,30.00,20.00
9983.00,0.00,2013.00,5.50,40.00,18.00
8095.00,0.00,1748.00,5.50,30.00,15.00
2544.00,0.00,1898.00,5.50,30.00,12.00
7891.00,0.00,1881.00,5.50,30.00,11.00
4944.00,0.00,1982.00,5.50,30.00,10.00
10191.00,0.00,2016.00,5.50,160.00,9.00
8102.00,0.00,1863.00,5.50,40.00,9.00
7890.00,0.00,1880.00,5.50,30.00,8.00
7985.00,0.00,1855.00,5.50,30.00,7.00
10103.00,0.00,2014.00,5.50,15.00,6.00
8116.00,0.00,1902.00,5.50,30.00,6.00
10342.00,0.00,2018.00,5.50,30.00,5.00
4742.00,0.00,1976.00,5.50,130.00,5.00
9919.00,0.00,2012.00,5.50,30.00,4.00
5334.00,0.00,1992.00,5.50,60.00,4.00
4719.00,0.00,1976.00,5.50,140.00,4.00
4333.00,0.00,1965.00,5.50,15.00,4.00
2615.00,0.00,1902.00,5.50,140.00,4.00
8021.00,0.00,1947.00,5.50,30.00,3.00
7918.00,0.00,1494.00,5.50,30.00,3.00
10254.00,0.00,2017.00,5.50,60.00,2.00
9632.00,0.00,2010.00,5.50,130.00,2.00
5636.00,0.00,2002.00,5.50,10.00,2.00
5667.00,0.00,2002.00,5.50,30.00,2.00
5598.00,0.00,2001.00,5.50,30.00,2.00
5359.00,0.00,1993.00,5.50,15.00,2.00
8015.00,0.00,1940.00,5.50,30.00,2.00
8013.00,0.00,1939.00,5.50,30.00,2.00
3282.00,0.00,1925.00,5.50,140.00,2.00
7944.00,0.00,1611.00,5.50,30.00,2.00
10362.00,0.00,2018.00,5.50,140.00,1.00
10109.00,0.00,2014.00,5.50,10.00,1.00
10050.00,0.00,2013.00,5.50,60.00,1.00
8277.00,0.00,2009.00,5.50,130.00,1.00
8125.00,0.00,2008.00,5.50,15.00,1.00
7409.00,0.00,2006.00,5.50,90.00,1.00
5505.00,0.00,1998.00,5.50,130.00,1.00
5227.00,0.00,1990.00,5.50,170.00,1.00
4953.00,0.00,1982.00,5.50,130.00,1.00
4706.00,0.00,1975.00,5.50,130.00,1.00
4648.00,0.00,1973.00,5.50,140.00,1.00
4487.00,0.00,1969.00,5.50,130.00,1.00
4277.00,0.00,1962.00,5.50,140.00,1.00
8020.00,0.00,1947.00,5.50,30.00,1.00
3460.00,0.00,1931.00,5.60,100.00,2450.00
2185.00,0.00,1871.00,5.60,140.00,2000.00
1063.00,1.00,1672.00,5.60,130.00,1500.00
3819.00,0.00,1946.00,5.60,15.00,264.00
2565.00,0.00,1899.00,5.60,140.00,247.00
865.00,1.00,1613.00,5.60,130.00,103.00
9937.00,0.00,2012.00,5.60,30.00,81.00
4471.00,0.00,1969.00,5.60,140.00,50.00
187.00,0.00,778.00,5.60,130.00,48.00
4214.00,0.00,1960.00,5.60,15.00,47.00
5252.00,0.00,1990.00,5.60,40.00,43.00
5550.00,0.00,1999.00,5.60,15.00,24.00
5053.00,0.00,1984.00,5.60,60.00,20.00
4372.00,0.00,1966.00,5.60,60.00,15.00
5415.00,0.00,1995.00,5.60,30.00,14.00
4111.00,0.00,1957.00,5.60,15.00,13.00
3820.00,0.00,1946.00,5.60,140.00,12.00
9012.00,0.00,2010.00,5.60,40.00,11.00
5767.00,0.00,2004.00,5.60,140.00,10.00
4891.00,0.00,1980.00,5.60,160.00,8.00
7879.00,0.00,2008.00,5.60,160.00,6.00
5509.00,0.00,1998.00,5.60,30.00,5.00
5734.00,0.00,2003.00,5.60,30.00,4.00
7363.00,0.00,2006.00,5.60,40.00,3.00
5731.00,0.00,2003.00,5.60,30.00,3.00
5593.00,0.00,2001.00,5.60,30.00,3.00
5119.00,0.00,1986.00,5.60,110.00,3.00
5452.00,0.00,1997.00,5.60,40.00,2.00
5298.00,0.00,1991.00,5.60,110.00,2.00
4917.00,0.00,1981.00,5.60,130.00,2.00
10283.00,0.00,2017.00,5.60,160.00,1.00
10171.00,0.00,2016.00,5.60,170.00,1.00
10128.00,0.00,2014.00,5.60,30.00,1.00
9843.00,0.00,2011.00,5.60,100.00,1.00
8165.00,0.00,2008.00,5.60,30.00,1.00
5611.00,0.00,2001.00,5.60,30.00,1.00
5197.00,0.00,1989.00,5.60,30.00,1.00
5101.00,0.00,1986.00,5.60,140.00,1.00
4683.00,0.00,1975.00,5.60,170.00,1.00
1055.00,0.00,1669.00,5.70,40.00,7000.00
3223.00,0.00,1923.00,5.70,140.00,2200.00
3296.00,0.00,1926.00,5.70,140.00,360.00
5481.00,0.00,1998.00,5.70,30.00,70.00
9852.00,0.00,2011.00,5.70,140.00,40.00
5216.00,1.00,1989.00,5.70,15.00,30.00
10234.00,0.00,2017.00,5.70,130.00,29.00
5660.00,0.00,2002.00,5.70,130.00,29.00
4465.00,1.00,1968.00,5.70,150.00,20.00
2646.00,0.00,1903.00,5.70,140.00,20.00
8162.00,0.00,2008.00,5.70,40.00,13.00
5697.00,1.00,2003.00,5.70,15.00,9.00
10056.00,0.00,2013.00,5.70,140.00,8.00
9945.00,0.00,2012.00,5.70,140.00,8.00
5143.00,0.00,1987.00,5.70,150.00,8.00
5500.00,0.00,1998.00,5.70,30.00,5.00
4801.00,0.00,1978.00,5.70,130.00,5.00
4584.00,0.00,1971.00,5.70,160.00,5.00
10226.00,0.00,2017.00,5.70,60.00,3.00
9991.00,0.00,2013.00,5.70,60.00,3.00
9472.00,0.00,2010.00,5.70,140.00,3.00
10057.00,1.00,1808.00,5.70,130.00,2.00
5711.00,0.00,2003.00,5.70,60.00,2.00
5542.00,0.00,1999.00,5.70,140.00,2.00
5271.00,0.00,1990.00,5.70,100.00,2.00
5096.00,0.00,1986.00,5.70,40.00,2.00
4664.00,0.00,1974.00,5.70,30.00,2.00
4011.00,0.00,1953.00,5.70,90.00,2.00
10316.00,0.00,2017.00,5.70,170.00,1.00
9931.00,0.00,2012.00,5.70,40.00,1.00
5797.00,0.00,2004.00,5.70,140.00,1.00
5632.00,0.00,2002.00,5.70,130.00,1.00
5597.00,0.00,2001.00,5.70,100.00,1.00
5547.00,0.00,1999.00,5.70,140.00,1.00
5492.00,0.00,1998.00,5.70,120.00,1.00
5163.00,0.00,1988.00,5.70,30.00,1.00
4382.00,0.00,1966.00,5.70,130.00,1.00
1928.00,0.00,1852.00,5.80,140.00,2000.00
3159.00,0.00,1920.00,5.80,130.00,1400.00
2653.00,0.00,1903.00,5.80,140.00,1000.00
750.00,1.00,1564.00,5.80,120.00,650.00
4786.00,0.00,1977.00,5.80,140.00,584.00
3257.00,0.00,1925.00,5.80,140.00,200.00
1174.00,0.00,1707.00,5.80,160.00,160.00
4094.00,0.00,1956.00,5.80,140.00,148.00
1633.00,0.00,1819.00,5.80,30.00,126.00
5207.00,0.00,1989.00,5.80,170.00,120.00
5199.00,0.00,1989.00,5.80,140.00,114.00
3446.00,0.00,1931.00,5.80,130.00,90.00
9922.00,0.00,2012.00,5.80,40.00,75.00
5465.00,0.00,1997.00,5.80,60.00,56.00
2407.00,0.00,1891.00,5.80,30.00,31.00
4907.00,0.00,1980.00,5.80,140.00,26.00
2483.00,0.00,1896.00,5.80,30.00,26.00
5064.00,0.00,1985.00,5.80,30.00,23.00
4834.00,0.00,1979.00,5.80,170.00,22.00
5108.00,0.00,1986.00,5.80,130.00,20.00
5491.00,0.00,1998.00,5.80,140.00,12.00
3278.00,0.00,1925.00,5.80,30.00,12.00
2974.00,0.00,1913.00,5.80,140.00,11.00
2318.00,0.00,1882.00,5.80,30.00,11.00
4080.00,0.00,1955.00,5.80,100.00,10.00
5732.00,0.00,2003.00,5.80,30.00,9.00
2849.00,0.00,1909.00,5.80,140.00,8.00
7444.00,0.00,2006.00,5.80,170.00,7.00
5533.00,0.00,1999.00,5.80,140.00,7.00
5262.00,0.00,1990.00,5.80,30.00,7.00
7998.00,0.00,1928.00,5.80,30.00,6.00
10031.00,0.00,2013.00,5.80,30.00,5.00
4844.00,0.00,1979.00,5.80,130.00,5.00
3399.00,0.00,1929.00,5.80,140.00,5.00
5607.00,0.00,2001.00,5.80,160.00,4.00
4092.00,0.00,1956.00,5.80,140.00,4.00
10148.00,0.00,2015.00,5.80,10.00,3.00
5036.00,0.00,1984.00,5.80,130.00,3.00
8022.00,0.00,1948.00,5.80,30.00,3.00
10249.00,0.00,2017.00,5.80,140.00,2.00
10160.00,0.00,2015.00,5.80,160.00,2.00
5356.00,0.00,1993.00,5.80,100.00,2.00
5158.00,0.00,1988.00,5.80,60.00,2.00
4088.00,0.00,1956.00,5.80,110.00,2.00
4002.00,0.00,1952.00,5.80,150.00,2.00
9412.00,0.00,2010.00,5.80,140.00,1.00
9552.00,0.00,2010.00,5.80,140.00,1.00
5752.00,0.00,2004.00,5.80,170.00,1.00
5693.00,0.00,2003.00,5.80,40.00,1.00
5705.00,0.00,2003.00,5.80,140.00,1.00
5022.00,0.00,1984.00,5.80,40.00,1.00
4216.00,1.00,1960.00,5.90,15.00,13100.00
1086.00,0.00,1679.00,5.90,140.00,7600.00
5485.00,0.00,1998.00,5.90,40.00,2323.00
8182.00,0.00,1941.00,5.90,60.00,1200.00
3825.00,0.00,1946.00,5.90,140.00,840.00
2256.00,0.00,1878.00,5.90,160.00,400.00
4772.00,0.00,1977.00,5.90,140.00,366.00
4929.00,0.00,1981.00,5.90,60.00,220.00
5391.00,0.00,1994.00,5.90,15.00,171.00
2827.00,1.00,1907.00,5.90,130.00,158.00
2574.00,0.00,1900.00,5.90,140.00,140.00
779.00,1.00,1584.00,5.90,120.00,100.00
4562.00,0.00,1971.00,5.90,140.00,100.00
2037.00,0.00,1859.00,5.90,40.00,100.00
